Description,Price,cumsum_price,cumsum_perc,cumperc
REGENCY CAKESTAND 3 TIER,23219.75,23219.75,1.842724251916926,1.842724251916926
WHITE HANGING HEART T-LIGHT HOLDER,9258.14,32477.89,2.5774521928138854,2.5774521928138854
HOME BUILDING BLOCK WORD,7289.55,39767.44,3.1559524165699995,3.1559524165699995
RED RETROSPOT CAKE STAND,7279.03,47046.47,3.7336177709097687,3.7336177709097687
VINTAGE UNION JACK BUNTING,6474.22,53520.69,4.2474132340928605,4.2474132340928605
VINTAGE BLUE KITCHEN CABINET,6433.5,59954.19,4.757977149497098,4.757977149497098
LOVE BUILDING BLOCK WORD,5935.150000000001,65889.34,5.228991903909386,5.228991903909386
WOOD S/3 CABINET ANT WHITE FINISH,5501.3,71390.64,5.665576230918531,5.665576230918531
SET/4 WHITE RETRO STORAGE CUBES ,5328.0,76718.64,6.0884074334169815,6.0884074334169815
BAKING SET 9 PIECE RETROSPOT ,5314.92,82033.56,6.510200604359747,6.510200604359747
CREAM SWEETHEART MINI CHEST,5252.23,87285.79,6.92701868369504,6.92701868369504
TEA TIME CAKE STAND IN GIFT BOX,5084.7699999999995,92370.56,7.330547102150002,7.330547102150002
VINTAGE RED KITCHEN CABINET,5015.0,97385.56,7.728538558705882,7.728538558705882
DOOR MAT UNION FLAG,4560.01,101945.56999999999,8.09042191300486,8.09042191300486
WHITE WOOD GARDEN PLANT LADDER,4439.849999999999,106385.42,8.442769344388633,8.442769344388633
SCOTTIE DOG HOT WATER BOTTLE,4408.900000000001,110794.31999999999,8.792660577251887,8.792660577251887
CAKE STAND 3 TIER MAGIC GARDEN,4319.1,115113.42,9.135425263196154,9.135425263196154
RED SPOTTY ROUND CAKE TINS,4309.099999999999,119422.52,9.47739634703363,9.47739634703363
IVORY KITCHEN SCALES,4075.75,123498.27,9.800848725709129,9.800848725709129
CHOCOLATE HOT WATER BOTTLE,4053.9,127552.17,10.122567083781288,10.122567083781288
VINTAGE POST OFFICE CABINET,4045.88,131598.05,10.4436489729638,10.4436489729638
WOODEN CROQUET GARDEN SET,4007.64,135605.69,10.761696127689945,10.761696127689945
MA CAMPAGNE CUTLERY BOX,3907.6499999999996,139513.34,11.071808054950278,11.071808054950278
RETRO SPOT CAKE STAND,3746.7499999999995,143260.09,11.36915092431234,11.36915092431234
LARGE CAKE STAND  HANGING STRAWBERY,3645.49,146905.58,11.658457778741033,11.658457778741033
WOOD 2 DRAWER CABINET WHITE FINISH,3635.05,150540.62999999998,11.946936112570235,11.946936112570235
RED RETROSPOT TRADITIONAL TEAPOT ,3615.48,154156.11,12.233861367076447,12.233861367076447
RETRO SPOT TEA SET CERAMIC 11 PC ,3590.4100000000003,157746.52,12.518797061100933,12.518797061100933
VICTORIAN SEWING BOX LARGE,3549.45,161295.97,12.800482160896001,12.800482160896001
HOT WATER BOTTLE TEA AND SYMPATHY,3401.9,164697.87,13.070457661605362,13.070457661605362
WOODEN SKITTLES GARDEN SET,3332.35,168030.22,13.33491365966199,13.33491365966199
PARTY BUNTING,3327.05,171357.27,13.598949048602016,13.598949048602016
WOODEN BOX ADVENT CALENDAR ,3316.35,174673.62,13.862135283287778,13.862135283287778
SET 3 WICKER LOG BASKETS,3255.75,177929.37,14.120512289206383,14.120512289206383
VINTAGE CREAM 3 BASKET CAKE STAND,3221.2599999999998,181150.63,14.376152161458666,14.376152161458666
ENAMEL BREAD BIN CREAM,3211.5,184362.13,14.63101747805472,14.63101747805472
