antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'CHILDS GARDEN FORK BLUE '}),frozenset({'CHILDS GARDEN TROWEL BLUE '}),0.009830256615419787,0.011487683602903354,0.009201577413270847,0.936046511627907,81.48261598981836,1.0,0.009088650535537557,15.456738038209147,0.9975334534340745,0.759433962264151,0.9353032963664135,0.8685207682517645
frozenset({'CHILDS GARDEN TROWEL BLUE '}),frozenset({'CHILDS GARDEN FORK BLUE '}),0.011487683602903354,0.009830256615419787,0.009201577413270847,0.800995024875622,81.48261598981836,1.0,0.009088650535537557,4.975602960507518,0.9992060060560443,0.759433962264151,0.7990193333476917,0.8685207682517645
frozenset({'CHILDS GARDEN FORK PINK'}),frozenset({'CHILDS GARDEN TROWEL PINK'}),0.010458935817568725,0.011944904840829856,0.009773103960678974,0.9344262295081969,78.2280178837556,1.0,0.009648172967601768,15.067840201177379,0.9976512263678718,0.7737556561085975,0.9336334878357775,0.8763040238450075
frozenset({'CHILDS GARDEN TROWEL PINK'}),frozenset({'CHILDS GARDEN FORK PINK'}),0.011944904840829856,0.010458935817568725,0.009773103960678974,0.8181818181818182,78.2280178837556,1.0,0.009648172967601768,5.442475853003374,0.9991516273330248,0.7737556561085975,0.8162600943009861,0.8763040238450075
frozenset({'CHILDS GARDEN TROWEL BLUE '}),frozenset({'CHILDS GARDEN TROWEL PINK'}),0.011487683602903354,0.011944904840829856,0.010001714579642225,0.8706467661691544,72.88854769216121,1.0,0.009864495292163983,7.638425927961285,0.9977421699484604,0.7446808510638299,0.8690829747606256,0.8539836701659169
frozenset({'CHILDS GARDEN TROWEL PINK'}),frozenset({'CHILDS GARDEN TROWEL BLUE '}),0.011944904840829856,0.011487683602903354,0.010001714579642225,0.8373205741626795,72.88854769216121,1.0,0.009864495292163983,6.076443356676272,0.9982038738679183,0.7446808510638299,0.8354300466075626,0.8539836701659169
frozenset({'CHILDS GARDEN FORK PINK'}),frozenset({'CHILDS GARDEN TROWEL BLUE '}),0.010458935817568725,0.011487683602903354,0.008687203520603532,0.8306010928961749,72.30361851942475,1.0,0.00856705457510823,5.835411416150604,0.9965927329876038,0.6551724137931034,0.8286324770122787,0.7934099991844059
frozenset({'CHILDS GARDEN TROWEL BLUE '}),frozenset({'CHILDS GARDEN FORK PINK'}),0.011487683602903354,0.010458935817568725,0.008687203520603532,0.7562189054726368,72.30361851942475,1.0,0.00856705457510823,4.059137834707524,0.9976298900871512,0.6551724137931034,0.7536422657418693,0.7934099991844059
"frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})","frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE BEDROOM ""})",0.011659141567125794,0.012402126078756359,0.00948734068697491,0.8137254901960783,65.61177374175476,1.0,0.009342742543289347,5.301841217892989,0.9963757185684854,0.6509803921568628,0.8113862790486563,0.7893512243607119
"frozenset({""POPPY'S PLAYHOUSE KITCHEN"", ""POPPY'S PLAYHOUSE BEDROOM ""})","frozenset({""POPPY'S PLAYHOUSE LIVINGROOM ""})",0.012402126078756359,0.011659141567125794,0.00948734068697491,0.7649769585253455,65.61177374175476,1.0,0.009342742543289347,4.2052934564692865,0.9971253067826864,0.6509803921568628,0.7622044667390256,0.7893512243607119
